Date,HomeTeam,AwayTeam,FTHG,FTAG
20/03/2026,Bournemouth,Man United,1,0
21/03/2026,Brighton,Liverpool,1,3
21/03/2026,Fulham,Burnley,1,0
21/03/2026,Man City,Crystal Palace,2,1
21/03/2026,Everton,Chelsea,1,0
21/03/2026,Leeds,Brentford,1,2
22/03/2026,Newcastle,Sunderland,5,1
22/03/2026,Aston Villa,West Ham,2,2
22/03/2026,Tottenham,Nott'm Forest,1,1
10/04/2026,West Ham,Wolves,2,1
11/04/2026,Arsenal,Bournemouth,7,0
11/04/2026,Brentford,Everton,2,1
11/04/2026,Burnley,Brighton,0,2
11/04/2026,Crystal Palace,Newcastle,0,2
11/04/2026,Nott'm Forest,Aston Villa,1,0
11/04/2026,Liverpool,Fulham,3,1
12/04/2026,Sunderland,Tottenham,1,0
12/04/2026,Chelsea,Man City,0,2
13/04/2026,Man United,Leeds,2,0
18/04/2026,Brentford,Fulham,3,2
18/04/2026,Aston Villa,Sunderland,1,0
18/04/2026,Leeds,Wolves,1,0
18/04/2026,Newcastle,Bournemouth,0,1
18/04/2026,Nott'm Forest,Burnley,1,1
18/04/2026,Tottenham,Brighton,0,3
18/04/2026,Chelsea,Man United,1,2
19/04/2026,Everton,Liverpool,1,0
19/04/2026,Man City,Arsenal,2,0
20/04/2026,Crystal Palace,West Ham,2,0
24/04/2026,Sunderland,Nott'm Forest,2,2
25/04/2026,Fulham,Aston Villa,2,2
25/04/2026,Bournemouth,Leeds,2,1
25/04/2026,Liverpool,Crystal Palace,4,0
25/04/2026,West Ham,Everton,0,2
25/04/2026,Wolves,Tottenham,2,1
25/04/2026,Arsenal,Newcastle,3,1
26/04/2026,Burnley,Man City,0,1
26/04/2026,Brighton,Chelsea,0,3
27/04/2026,Man United,Brentford,4,0
02/05/2026,Arsenal,Fulham,3,0
02/05/2026,Aston Villa,Tottenham,3,1
02/05/2026,Bournemouth,Crystal Palace,1,2
02/05/2026,Brentford,West Ham,0,1
02/05/2026,Chelsea,Nott'm Forest,0,0
02/05/2026,Everton,Man City,1,2
02/05/2026,Leeds,Burnley,0,1
02/05/2026,Man United,Liverpool,3,2
02/05/2026,Newcastle,Brighton,3,2
02/05/2026,Wolves,Sunderland,0,1
09/05/2026,Brighton,Wolves,0,0
09/05/2026,Burnley,Aston Villa,2,3
09/05/2026,Crystal Palace,Everton,1,1
09/05/2026,Fulham,Bournemouth,4,2
09/05/2026,Liverpool,Chelsea,0,3
09/05/2026,Man City,Brentford,3,2
09/05/2026,Nott'm Forest,Newcastle,1,3
09/05/2026,Sunderland,Man United,1,0
09/05/2026,Tottenham,Leeds,1,2
09/05/2026,West Ham,Arsenal,0,0
17/05/2026,Arsenal,Burnley,7,0
17/05/2026,Aston Villa,Liverpool,1,2
17/05/2026,Bournemouth,Man City,3,0
17/05/2026,Brentford,Crystal Palace,0,4
17/05/2026,Chelsea,Tottenham,1,3
17/05/2026,Everton,Sunderland,0,0
17/05/2026,Leeds,Brighton,4,0
17/05/2026,Man United,Nott'm Forest,3,0
17/05/2026,Newcastle,West Ham,1,3
17/05/2026,Wolves,Fulham,0,2
24/05/2026,Brighton,Man United,2,0
24/05/2026,Burnley,Wolves,0,3
24/05/2026,Crystal Palace,Arsenal,0,3
24/05/2026,Fulham,Newcastle,1,0
24/05/2026,Liverpool,Brentford,3,2
24/05/2026,Man City,Aston Villa,2,0
24/05/2026,Nott'm Forest,Bournemouth,1,1
24/05/2026,Sunderland,Chelsea,0,4
24/05/2026,Tottenham,Everton,0,3
24/05/2026,West Ham,Leeds,4,0
